Rank,Gross,Name
1,"$2,787,965,087",Avatar
2,"$2,186,772,302",Titanic
3,"$2,066,960,090",Star Wars: Episode VII - The Force Awakens
4,"$1,670,400,637",Jurassic World
5,"$1,519,557,910",The Avengers
6,"$1,516,045,911",Furious 7
7,"$1,405,035,767",Avengers: Age of Ultron
8,"$1,341,511,219",Harry Potter and the Deathly Hallows: Part 2
9,"$1,279,852,693",Frozen
10,"$1,215,439,994",Iron Man Three
11,"$1,159,398,397",Minions
12,"$1,123,746,996",Transformers: Dark of the Moon
13,"$1,119,929,521",The Lord of the Rings: The Return of the King
14,"$1,110,580,457",Captain America: Civil War
15,"$1,108,561,013",Skyfall
16,"$1,104,054,072",Transformers: Age of Extinction
17,"$1,084,439,099",The Dark Knight Rises
18,"$1,066,179,725",Pirates of the Caribbean: Dead Man's Chest
19,"$1,063,171,911",Toy Story 3
20,"$1,039,571,802",Pirates of the Caribbean: On Stranger Tides
21,"$1,029,939,903",Jurassic Park
22,"$1,027,044,677",Star Wars: Episode I - The Phantom Menace
23,"$1,024,299,904",Alice in Wonderland
24,"$1,017,003,568",The Hobbit: An Unexpected Journey
25,"$1,004,558,444",The Dark Knight
26,"$993,664,834",Zootopia
27,"$974,755,371",Harry Potter and the Sorcerer's Stone
28,"$970,761,885",Despicable Me 2
29,"$968,483,777",The Lion King
30,"$963,420,425",Pirates of the Caribbean: At World's End
31,"$960,366,855",The Hobbit: The Desolation of Smaug
32,"$960,283,305",Harry Potter and the Deathly Hallows: Part 1
33,"$955,119,788",The Hobbit: The Battle of the Five Armies
34,"$939,885,929",Harry Potter and the Order of the Phoenix
35,"$936,743,261",Finding Nemo
36,"$934,416,487",Harry Potter and the Half-Blood Prince
37,"$926,047,111",The Lord of the Rings: The Two Towers
38,"$919,838,758",Shrek 2
39,"$896,911,078",Harry Potter and the Goblet of Fire
40,"$890,871,626",Spider-Man 3
41,"$886,686,817",Ice Age: Dawn of the Dinosaurs
42,"$882,024,555",The Jungle Book
43,"$880,674,609",Spectre
44,"$878,979,634",Harry Potter and the Chamber of Secrets
45,"$875,307,240",Ice Age: Continental Drift
46,"$871,779,318",Batman v Superman: Dawn of Justice
47,"$871,530,324",The Lord of the Rings: The Fellowship of the Ring
48,"$864,912,963",The Hunger Games: Catching Fire
49,"$851,458,049",Inside Out
50,"$848,754,768",Star Wars: Episode III - Revenge of the Sith
